"","cage","site","depth","station","week","survivors","avlength","SD","tl","biom","min.do","max.do","mean.do","sd.do","min.temp","max.temp","mean.temp","sd.T","do.dur","temp.dur","mean.sal","sd.sal","ssat","index","fishID","Fish","fishlength","n","death.week","event","event2","start","end"
"51","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615,"MD1_3_X5","MD1_X5","X5",49,12,12,3,0,3,4
"52","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315,"MD1_4_X5","MD1_X5","X5",55,12,12,3,0,4,5
"53","MD1","M","deep","MD",5,8,60.25,11.90325586,482,4472.17555602327,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870,"MD1_5_X5","MD1_X5","X5",65,12,12,3,0,5,6
"54","MD1","M","deep","MD",6,8,62.125,8.894345114,497,4636.52816119482,3.77,9.77,6.62794782608696,1.04382519732439,19.68,25.38,21.5768173913043,1.15956188096823,0,0,30.092548173913,0.553209530963719,480,"MD1_6_X5","MD1_X5","X5",66,12,12,3,0,6,7
"55","MD1","M","deep","MD",7,8,62.75,10.21946672,502,4909.87904664414,3.62,11.1,7.30778357235984,1.13778908877664,19.68,24.16,21.5362059973924,0.921268749576207,0,0,30.6906099104237,0.480834109606896,1785,"MD1_7_X5","MD1_X5","X5",70,12,12,3,0,7,8
"56","MD1","M","deep","MD",8,8,69.375,11.13482712,555,7021.44901739791,2.35,10.54,6.65373913043478,1.23933348732459,19.51,25.31,21.8274086956522,1.52115754507143,0,0,31.3863333913043,0.716669892541964,420,"MD1_8_X5","MD1_X5","X5",74,12,12,3,0,8,9
"57","MD1","M","deep","MD",9,8,66.625,9.313129173,533,5931.86710469173,4.27,11.92,7.32955671447197,1.3783573534617,21.54,24.54,22.6000130378096,0.516354084228804,0,0,29.5367383311604,1.36430491023266,2505,"MD1_9_X5","MD1_X5","X5",71,12,12,3,0,9,10
"58","MD1","M","deep","MD",10,6,68.66666667,10.73416146,412,5057.32675850341,5.28,12.65,8.43563988095238,1.43204777916278,19.87,24.31,22.0215922619048,1.32172131607866,0,0,29.9625596408899,0.468048297611332,4950,"MD1_10_X5","MD1_X5","X5",80,12,12,3,0,10,11
"59","MD1","M","deep","MD",11,6,72.83333333,11.8520978,437,6281.49998373937,5.89,11.02,8.29478827361564,1.03201502517893,19.85,23.4,21.1710586319218,0.940808208216767,0,0,30.9346481636645,0.615810702717019,3450,"MD1_11_X5","MD1_X5","X5",84,12,12,3,0,11,12
"60","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0,"MD1_1_X6","MD1_X6","X6",44,12,12,3,0,1,2
"61","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15,"MD1_2_X6","MD1_X6","X6",46,12,12,3,0,2,3
"62","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615,"MD1_3_X6","MD1_X6","X6",51,12,12,3,0,3,4
"63","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315,"MD1_4_X6","MD1_X6","X6",57,12,12,3,0,4,5
"64","MD1","M","deep","MD",5,8,60.25,11.90325586,482,4472.17555602327,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870,"MD1_5_X6","MD1_X6","X6",70,12,12,3,0,5,6
"65","MD1","M","deep","MD",6,8,62.125,8.894345114,497,4636.52816119482,3.77,9.77,6.62794782608696,1.04382519732439,19.68,25.38,21.5768173913043,1.15956188096823,0,0,30.092548173913,0.553209530963719,480,"MD1_6_X6","MD1_X6","X6",69,12,12,3,0,6,7
"66","MD1","M","deep","MD",7,8,62.75,10.21946672,502,4909.87904664414,3.62,11.1,7.30778357235984,1.13778908877664,19.68,24.16,21.5362059973924,0.921268749576207,0,0,30.6906099104237,0.480834109606896,1785,"MD1_7_X6","MD1_X6","X6",71,12,12,3,0,7,8
"67","MD1","M","deep","MD",8,8,69.375,11.13482712,555,7021.44901739791,2.35,10.54,6.65373913043478,1.23933348732459,19.51,25.31,21.8274086956522,1.52115754507143,0,0,31.3863333913043,0.716669892541964,420,"MD1_8_X6","MD1_X6","X6",79,12,12,3,0,8,9
"68","MD1","M","deep","MD",9,8,66.625,9.313129173,533,5931.86710469173,4.27,11.92,7.32955671447197,1.3783573534617,21.54,24.54,22.6000130378096,0.516354084228804,0,0,29.5367383311604,1.36430491023266,2505,"MD1_9_X6","MD1_X6","X6",73,12,12,3,0,9,10
"69","MD1","M","deep","MD",10,6,68.66666667,10.73416146,412,5057.32675850341,5.28,12.65,8.43563988095238,1.43204777916278,19.87,24.31,22.0215922619048,1.32172131607866,0,0,29.9625596408899,0.468048297611332,4950,"MD1_10_X6","MD1_X6","X6",80,12,12,3,0,10,11
"70","MD1","M","deep","MD",11,6,72.83333333,11.8520978,437,6281.49998373937,5.89,11.02,8.29478827361564,1.03201502517893,19.85,23.4,21.1710586319218,0.940808208216767,0,0,30.9346481636645,0.615810702717019,3450,"MD1_11_X6","MD1_X6","X6",85,12,12,3,0,11,12
"71","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0,"MD1_1_X7","MD1_X7","X7",47,10,10,3,0,1,2
"72","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15,"MD1_2_X7","MD1_X7","X7",48,10,10,3,0,2,3
"73","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615,"MD1_3_X7","MD1_X7","X7",58,10,10,3,0,3,4
"74","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315,"MD1_4_X7","MD1_X7","X7",63,10,10,3,0,4,5
"75","MD1","M","deep","MD",5,8,60.25,11.90325586,482,4472.17555602327,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870,"MD1_5_X7","MD1_X7","X7",73,10,10,3,0,5,6
"76","MD1","M","deep","MD",6,8,62.125,8.894345114,497,4636.52816119482,3.77,9.77,6.62794782608696,1.04382519732439,19.68,25.38,21.5768173913043,1.15956188096823,0,0,30.092548173913,0.553209530963719,480,"MD1_6_X7","MD1_X7","X7",69,10,10,3,0,6,7
"77","MD1","M","deep","MD",7,8,62.75,10.21946672,502,4909.87904664414,3.62,11.1,7.30778357235984,1.13778908877664,19.68,24.16,21.5362059973924,0.921268749576207,0,0,30.6906099104237,0.480834109606896,1785,"MD1_7_X7","MD1_X7","X7",72,10,10,3,0,7,8
"78","MD1","M","deep","MD",8,8,69.375,11.13482712,555,7021.44901739791,2.35,10.54,6.65373913043478,1.23933348732459,19.51,25.31,21.8274086956522,1.52115754507143,0,0,31.3863333913043,0.716669892541964,420,"MD1_8_X7","MD1_X7","X7",79,10,10,3,0,8,9
"79","MD1","M","deep","MD",9,8,66.625,9.313129173,533,5931.86710469173,4.27,11.92,7.32955671447197,1.3783573534617,21.54,24.54,22.6000130378096,0.516354084228804,0,0,29.5367383311604,1.36430491023266,2505,"MD1_9_X7","MD1_X7","X7",74,10,10,1,1,9,10
"80","MD1","M","deep","MD",1,10,43.3,8.866228059,433,1741.84362435871,5.10571815,8.94134604,7.25178638631763,0.736638859548538,15.34,21.93,18.8621465968586,1.33438499734115,0,0,29.9524186736475,0.947621685776282,0,"MD1_1_X8","MD1_X8","X8",50,10,10,3,0,1,2
"81","MD1","M","deep","MD",2,10,44.6,7.605261337,446,1839.83259546594,5.45,9.49,7.59717079530639,0.633680204313803,14.38,21.4,17.4413298565841,1.42023903200267,0,0,31.0271758800522,0.731677356614568,15,"MD1_2_X8","MD1_X8","X8",50,10,10,3,0,2,3
"82","MD1","M","deep","MD",3,10,52.3,10.46947945,523,3416.76622464617,4.34,9.07,7.16019345238095,0.992622018800428,15.98,23.82,18.9744047619048,1.75926517392008,0,0,30.7368566964286,0.833169503054134,615,"MD1_3_X8","MD1_X8","X8",60,10,10,3,0,3,4
"83","MD1","M","deep","MD",4,10,50.5,21.80940164,505,4408.94780703513,2.53,10.91,6.57612173913043,1.04591077916621,19.38,23.81,20.883547826087,0.957661170317438,0,0,30.2373977391304,0.451491320769371,315,"MD1_4_X8","MD1_X8","X8",76,10,10,3,0,4,5
"84","MD1","M","deep","MD",5,8,60.25,11.90325586,482,4472.17555602327,4.13,11.16,6.82589308996089,1.11673863277578,19.85,24.06,21.3575619295958,0.943880898143587,0,0,30.1178178617992,0.433867936021658,870,"MD1_5_X8","MD1_X8","X8",75,10,10,3,0,5,6
