,cage,site,depth,station,week,survivors,av_length,SD,biom,min.do,max.do,mean.do,sd.do,min.temp,max.temp,mean.temp,sd.T,do.dur,temp.dur,mean.sal,sd.sal,ssat,index,fishID,Survival1,Fish,fishlength,n,death.week,event,event2,start,end
908,RSD3,RS,deep,RSD,2,10,44.4,6.93108938,1779.649552,4.07,23.8,10.2036891,3.434966753,14.68,23.81,18.45777262,2.321774754,0,0,28.23108793,1.140545088,6900,RSD3_2_X7,RSD3_X7,1,X7,46,3,2,1,1,1,2
909,RSD3,RS,deep,RSD,2,10,44.4,6.93108938,1779.649552,4.07,23.8,10.2036891,3.434966753,14.68,23.81,18.45777262,2.321774754,0,0,28.23108793,1.140545088,6900,RSD3_2_X8,RSD3_X8,1,X8,47,3,2,1,1,1,2
910,RSD3,RS,deep,RSD,2,10,44.4,6.93108938,1779.649552,4.07,23.8,10.2036891,3.434966753,14.68,23.81,18.45777262,2.321774754,0,0,28.23108793,1.140545088,6900,RSD3_2_X9,RSD3_X9,1,X9,49,3,2,1,1,1,2
911,RSD4,RS,deep,RSD,2,6,46,5.322906474,1153.028252,4.07,23.8,10.2036891,3.434966753,14.68,23.81,18.45777262,2.321774754,0,0,28.23108793,1.140545088,6900,RSD4_2_X1,RSD4_X1,0.666666667,X1,36,11,10,3,0,1,2
912,RSD4,RS,deep,RSD,3,6,44.5,9.305016568,1158.982021,0.36,18.35,8.600260417,3.452123083,16.65,27.05,19.72140625,1.952017604,135,15,26.93127689,0.541931157,4665,RSD4_3_X1,RSD4_X1,0.666666667,X1,29,11,10,3,0,2,3
913,RSD4,RS,deep,RSD,4,6,50,5.385164807,1546.796008,0.01,14.9,5.890985915,3.285707558,16.86,24.73,20.32452465,2.089153593,1110,0,26.76813013,0.565636379,1635,RSD4_4_X1,RSD4_X1,0.666666667,X1,42,11,10,3,0,3,4
914,RSD4,RS,deep,RSD,5,5,55,5.727128425,1802.084719,0.58,19.48,8.376712963,2.773718502,17.35,26.26,20.94415509,2.475973955,165,0,26.61378549,0.659300232,5145,RSD4_5_X1,RSD4_X1,0.555555556,X1,47,11,10,3,0,4,5
915,RSD4,RS,deep,RSD,6,5,57.2,4.955804677,2046.263874,1.24,23.5,7.2499375,4.046121702,19.63,28.06,23.58214583,2.588552158,135,660,26.20381895,0.646619372,2250,RSD4_6_X1,RSD4_X1,0.555555556,X1,52,11,10,3,0,5,6
916,RSD4,RS,deep,RSD,7,5,60.6,2.939387691,2454.154369,3,17.44,8.242682292,2.755406082,16.78,27.49,23.02216146,2.464638151,0,60,26.09857329,0.613378077,5115,RSD4_7_X1,RSD4_X1,0.555555556,X1,56,11,10,3,0,6,7
917,RSD4,RS,deep,RSD,8,4,65.5,5.315072906,2644.069749,1.97,12.06,7.155538194,2.217185616,19.11,25.52,21.87710069,0.949025915,15,0,26.33170649,0.250832353,2670,RSD4_8_X1,RSD4_X1,0.444444444,X1,61,11,10,3,0,7,8
918,RSD4,RS,deep,RSD,9,3,69,5.715476066,2386.988487,2.62,16.54,8.695535714,2.893478769,19.08,26.75,23.83147321,1.364908977,0,0,25.68703998,0.311689784,5295,RSD4_9_X1,RSD4_X1,0.333333333,X1,61,11,10,3,0,8,9
919,RSD4,RS,deep,RSD,10,2,77.5,8.5,2467.203541,1.2,12.18,6.27505787,1.872015043,19.48,29.02,25.00481481,2.640853204,15,3780,25.34675459,0.432192264,2010,RSD4_10_X1,RSD4_X1,0.222222222,X1,69,11,10,1,1,9,10
920,RSD4,RS,deep,RSD,2,6,46,5.322906474,1153.028252,4.07,23.8,10.2036891,3.434966753,14.68,23.81,18.45777262,2.321774754,0,0,28.23108793,1.140545088,6900,RSD4_2_X2,RSD4_X2,0.666666667,X2,44,11,10,3,0,1,2
921,RSD4,RS,deep,RSD,3,6,44.5,9.305016568,1158.982021,0.36,18.35,8.600260417,3.452123083,16.65,27.05,19.72140625,1.952017604,135,15,26.93127689,0.541931157,4665,RSD4_3_X2,RSD4_X2,0.666666667,X2,38,11,10,3,0,2,3
922,RSD4,RS,deep,RSD,4,6,50,5.385164807,1546.796008,0.01,14.9,5.890985915,3.285707558,16.86,24.73,20.32452465,2.089153593,1110,0,26.76813013,0.565636379,1635,RSD4_4_X2,RSD4_X2,0.666666667,X2,48,11,10,3,0,3,4
923,RSD4,RS,deep,RSD,5,5,55,5.727128425,1802.084719,0.58,19.48,8.376712963,2.773718502,17.35,26.26,20.94415509,2.475973955,165,0,26.61378549,0.659300232,5145,RSD4_5_X2,RSD4_X2,0.555555556,X2,50,11,10,3,0,4,5
924,RSD4,RS,deep,RSD,6,5,57.2,4.955804677,2046.263874,1.24,23.5,7.2499375,4.046121702,19.63,28.06,23.58214583,2.588552158,135,660,26.20381895,0.646619372,2250,RSD4_6_X2,RSD4_X2,0.555555556,X2,54,11,10,3,0,5,6
925,RSD4,RS,deep,RSD,7,5,60.6,2.939387691,2454.154369,3,17.44,8.242682292,2.755406082,16.78,27.49,23.02216146,2.464638151,0,60,26.09857329,0.613378077,5115,RSD4_7_X2,RSD4_X2,0.555555556,X2,60,11,10,3,0,6,7
926,RSD4,RS,deep,RSD,8,4,65.5,5.315072906,2644.069749,1.97,12.06,7.155538194,2.217185616,19.11,25.52,21.87710069,0.949025915,15,0,26.33170649,0.250832353,2670,RSD4_8_X2,RSD4_X2,0.444444444,X2,61,11,10,3,0,7,8
927,RSD4,RS,deep,RSD,9,3,69,5.715476066,2386.988487,2.62,16.54,8.695535714,2.893478769,19.08,26.75,23.83147321,1.364908977,0,0,25.68703998,0.311689784,5295,RSD4_9_X2,RSD4_X2,0.333333333,X2,72,11,10,3,0,8,9
928,RSD4,RS,deep,RSD,10,2,77.5,8.5,2467.203541,1.2,12.18,6.27505787,1.872015043,19.48,29.02,25.00481481,2.640853204,15,3780,25.34675459,0.432192264,2010,RSD4_10_X2,RSD4_X2,0.222222222,X2,86,11,10,1,1,9,10
929,RSD4,RS,deep,RSD,2,6,46,5.322906474,1153.028252,4.07,23.8,10.2036891,3.434966753,14.68,23.81,18.45777262,2.321774754,0,0,28.23108793,1.140545088,6900,RSD4_2_X3,RSD4_X3,0.666666667,X3,46,10,9,3,0,1,2
